smile,Polarizability,split
CS/C=C\C(=O)N1CCSCC1,141.75,train
CC[C@@H](Sc1ccccc1)C(=O)N[C@H](C)C(=O)OC,183.43,train
N#CC(CCOC(=O)CCn1ccccc1=O)(c1ccccc1)c1ccccc1,267.62,train
Cc1nc(CN2CCCN(c3nnc(COc4ccc(C)c(C)c4)n3CCOC(C)C)CC2)no1,332.18,train
COc1cccc(NC(=O)N2CCC[C@H]2c2ccc(N(C)C)nn2)n1,241.97,train
C[C@H]1CN(C(=O)c2ccc(C(N)=O)[nH]2)C[C@H](CO)O1,168.97,train
CCCCc1cccc(OC)c1Cl,133.22,train
COC(=O)COc1ccc(NC(=O)NC(C)(C)CSC)c2ccccc12,266.35,train
COC[C@@H](C)S(=O)(=O)NC/C=C\CO,129.44,train
O=C(NC[C@H](O)COc1ccccc1)C(=O)Nc1cnn(CCN2CCOCC2)c1,275.82,train
CC(C)OCC[S@@](=O)[C@H]1CCCOC1,140.28,train
[NH3+][C@H](Cc1ccccc1F)C(=O)Nc1ccc2c(c1)S(=O)(=O)[N-]C2=O,246.54,train
O=c1[nH]ccc2oc(CN[C@H]3CCN(c4ccccc4C(F)(F)F)C3)cc21,234.48,train
C/C(=C/C(=O)N1CCC[C@H]1CNCc1noc(C2CCC2)n1)C1CC1,236.9,train
CN(Cc1nncn1C)C(=O)NCc1ccc(OCC(F)(F)F)nc1,199.85,train
O=C(Cc1ccc(-n2cnnn2)cc1)N1CC(c2nc3ccccc3s2)C1,268.73,train
CO[C@@H](C)CN1CC2(C1)C[C@H](NC(=O)c1ccn(C(F)F)n1)CO2,202.4,train
Cc1c[nH]c(C(=O)N[C@@H]2C[C@H](C)N(C(=O)c3nnn(C)c3C)C2)n1,220.75,train
CCc1cc(-c2nc3cc[nH]c3nc2C)ccc1N,202.82,train
C[C@@H]1C[C@@H]1c1csc(NCC(F)F)n1,129.84,train
O=C(c1ccn[nH]1)N1C[C@H]2[C@@H](C1)[C@H]1CC[C@@H]2N(Cc2cnon2)C1,202.29,train
CC(C)[C@](C)(CO)NC(=O)c1ccc(Cl)cc1Cl,182.37,train
Cc1cnc(COC(=O)[C@H]2CCNC(=O)CC2)cn1,163.33,train
Cc1ccc(CN2CC[C@H](NC(=O)Nc3ccc(-n4cccn4)c(Cl)c3)C2=O)cc1,301.45,train
O=C(NC(CF)CF)C1CCCCC1,117.74,train
C#C[C@H](C)N(C)c1nnc(-c2cccnc2)n1CC1(c2ccc(F)cc2F)CC1,249.76,train
COc1ccc(Cn2c(SCc3ccccc3C)nc3c4cccnc4sc3c2=O)cc1,337.18,train
O[C@@H]1CN(CCOCC(F)F)C[C@@H]1O,106.4,train
Cn1nccc1[C@H]1CCCN(C(=O)[C@@H]2COCCN2CC(F)(F)F)C1,200.97,train
C[C@@H](NC(=O)N1CCC[C@@H]1C[C@H](C)O)C1CCC1,169.74,train
CC(C)NC(=O)c1nnc(N2CCC[C@@H](CNC(=O)c3ccccc3)C2)n1CCC[C@H]1CCCCO1,342.5,train
CC(C)n1cccc1C(=O)NCCN(CCO)C(=O)C1CC(C)(C)C1,237.92,train
CCC[C@@H](C(=O)Nc1nnn(Cc2noc(C)n2)c1C)c1ccc(Cl)cc1,247.9,train
Cc1ccc(NC(=O)c2cc(OCc3ccccc3)ccc2[N+](=O)[O-])cc1C(N)=O,286.4,train
CC[S@](=O)CCn1c(C(=O)NC(C)C)nnc1N1CCN(C(=O)C(=O)NC(C)C)CC1,299.61,train
CCOC(=O)[C@@H](CC)N(CC(=O)N[C@H]1CCCc2ccccc21)C1CC1,244.7,train
CCOC(=O)C(=O)N1CCc2cnc(OC)cc2C1,167.17,train
CC(=O)NCC(C)(C)C(=O)N[C@@H](C)c1nc(C)cs1,183.88,train
CSc1ncc(Cl)c(C(=O)OCC(=O)c2cc(C)n(CCc3ccc(Cl)cc3)c2C)n1,325.31,train
Cc1nnc(N2CCO[C@H](c3ccco3)C2)n1Cc1ccc(C(F)(F)F)cc1,230.4,train
C[C@H]1CCC[C@H]1CNC(=O)NCCF,124.74,train
C[C@@H](OC(=O)COc1ccsc1)c1ccncc1,164.05,train
CCCC1(C(=O)NC[C@]23CCC[C@H]2N(C(=O)c2cc[nH]c(=O)c2)CC3)CC1,248.65,train
Nc1ncc(Cl)nc1NC1=CCOC1,139.63,train
CC(=O)NCCNC(=O)CCC(=O)N1CCOCN1,160.96,train
COc1ccc([N+](=O)[O-])c(Cc2noc(CCCOc3ccc(C(C)=O)cc3)n2)c1,274.18,train
Cc1ccc(OCc2nnc(N3CCC[C@H](NC(=O)C(C)(C)C)C3)n2CCCc2cnn(C)n2)cc1,336.91,train
CNC(=O)[C@@H]1CN(CC(C)=O)CCO1,119.32,train
COc1ccccc1[C@H](CC(C)C)NC(=O)CCCS(=O)(=O)N1CCCC1,257.78,train
Cc1ncncc1C(=O)N1CCC[C@@](CO)(NC(=O)c2ccco2)C1,218.15,train
C[C@@H](c1cccc(O)c1)N(C)C(=O)NCc1ccc(CN2C[C@@H](C)O[C@@H](C)C2)cc1,286.82,train
COCCOc1ccc(NC(=O)C(=O)N2CCN(C(=O)C(=O)N3CCOCC3)CC2)cn1,293.51,train
FC(F)CN(CCC1CCC1)C1CC1,124.44,train
C/C=C\[C@H](O)C(=O)N[C@H](C)C[S@](C)=O,135.06,train
COC[C@H](F)Cn1c(-c2cc3ccccc3o2)nnc1N1CCO[C@@H](CNC(=O)OC(C)(C)C)C1,334.74,train
C[C@@H](C(=O)Nc1ccc2ccccc2c1)N(c1ccc(Oc2ccccc2)cc1)S(C)(=O)=O,340.92,train
Cc1cc(C(=O)N2C[C@H](NC(=O)c3cnccn3)C[C@@H]2C)nc(C)n1,231.64,train
Cc1nc(C(=O)NC[C@](C)(O)C(C)C)co1,142.98,train
Cc1cocc1C(=O)N(C)C1CC(NC(=O)CN2CN=NC2=O)C1,203.59,train
CC[C@@H](OC)C(=O)N1CC[C@H]2CCN(Cc3ncoc3C(C)C)[C@H]2C1,229.37,train
C[C@@H]1SCC[C@H]1Nc1cc(=O)[nH]cn1,140.68,train
Cc1cc(Cl)ccc1-c1noc([C@@H](N)O)n1,150.43,train
Cc1coc(C)c1C(=O)N1C[C@H]2OCCN(C(=O)Cc3cncnc3)[C@H]2C1,233.56,train
C[C@@H](C(N)=O)N1CC(CCO)(NC(=O)c2cccc3c2OCCO3)C1,219.32,train
COCCN1C[C@H](Cn2c(COc3cccc(C)c3)nnc2N2CCO[C@](C)(C(C)(C)C)C2)CC1=O,330.66,train
CCC[C@H](O)CCNC(=O)[C@@H](C)SC,142.79,train
CC[C@@](C)(O)CNC(=O)[C@H]1CC(=O)N1,119.13,train
Cc1ccc(C)c([C@H](C)N(C)C(=O)N[C@H](CN2CCN(C)CC2)c2ccccc2)c1,299.75,train
CO[C@H]1CCCN(Cc2cnc([C@@H]3CCCO3)s2)C1,187.97,train
CC(C)(C)n1ncnc1Cn1c(Cc2ccncc2)nnc1N1CCC([C@](C)(O)C(F)(F)F)CC1,292.79,train
Cn1cccc1CNC(=O)OCCF,116.3,train
C[C@@H](CCNC(=O)Cn1nccn1)NC(=O)[C@@H]1CCCn2nccc21,215.11,train
CCOc1ccc(C(=O)Nc2ccc(F)c(Cl)c2)cc1CN(c1ccc(F)cc1)S(C)(=O)=O,320.47,train
CSC1(C(=O)N2C[C@H](C)[C@H](C)C2)CC1,141.75,train
O=C(CSC(F)(F)F)Nc1cn[nH]c1,105.78,train
CCc1ccc(N2C[C@@H](C(=O)NCC(C3CC3)C3CC3)CC2=O)cc1,246.4,train
CCC1(CNC(=O)N[C@@H]2CSC[C@@H]2C)CCOCC1,186.22,train
C[C@@H]1CCC(=NOC(C)(C)C)C[C@H]1C,145.48,train
C[C@H](NC(=O)Cc1cnn(C)c1)[C@@H]1CCN(C(=O)c2cnsn2)C1,219.01,train
CCCC(=CC(=O)OCCC1OCCO1)CCC,169.09,train
CC(=O)Nc1ccc(Cl)cc1NC(=O)[C@H]1C[C@@H]1c1cc(F)ccc1F,228.72,train
CC(C)(C)OC(=O)N1CC[C@H]2[C@@H](CCCN2Cc2nc(C#N)cs2)C1,243.61,train
COCC(=O)N1CCN(c2nnc(-c3ccc(OC)cc3)n2C[C@H]2C[C@@H](OC(C)(C)C)C2(C)C)CC1,346.46,train
COc1cccc(OC)c1CN1CCC(N(C)c2ccc(-c3ccncc3)nn2)CC1,322.01,train
CC(C)[C@@H](C)NC(=O)C1CCN(c2nnc(C3CCC3)n2CC(=O)NCCc2ccccc2)CC1,333.88,train
CC[C@@H](O)[C@@H](C)C(=O)N1CCCSC1,138.2,train
CCCS(=O)(=O)CC(=O)NC1COC1,123.09,train
CCOc1cc2c(cc1CNC(=O)c1ccc(C(=O)N(CC)CC)cc1)O[C@@H](C)C2,296.81,train
CC[C@H](C)c1nnc(N2CCCN(CC(F)(F)F)CC2)n1Cc1cccc(OCC(=O)N(C)C)c1,307.13,train
O=C(c1cc(N2CCCNC2=O)ncn1)N(CCO)Cc1cccs1,235.55,train
C=C(C)CO[C@@H](CCC)[C@@H](C)CC,135.56,train
CCCC[C@H](CC)CC(=O)N1CC[C@H](OC)C1,165.75,train
CO[C@H](C)CNC(=O)N1CC[C@H]1CO,123.59,train
CCN(CC)C(=O)CN1CCN(c2nnc([C@@H]3CCS(=O)(=O)C3)n2C[C@H]2COCCO2)CC1,300.27,train
CN(C)C(=O)CN(C)c1cncc(-n2cncn2)n1,174.86,train
O=C(NCCCC1CC1)c1cccs1,142.53,train
COC(=O)[C@@H]1CCN(C(=O)NCC2(c3ccccc3)CCCCCC2)C1,243.74,train
COC[C@H](C)S(=O)(=O)N[C@@H](C)c1cc(C)sc1C,178.44,train
CC(C)(C)OC(=O)N1CCOC[C@H]1c1nnc(N(CCCCO)C2CC2)n1Cc1ccc(O)cc1,311.64,train
CC(C)CCCNS(=O)(=O)CC(C)C,141.27,train
CN(CCO)Cc1cn(CCF)nn1,118.34,train
CCOC(=O)CC(=N)NC(=O)[C@H]1CCOC(C)(C)C1,167.3,train
CC(C)(C)OC(=O)NC[C@@H]1CCN(c2nnc(-c3ccccn3)n2CCCOC2CCOCC2)C1,325.82,train
CC(C)(C)C(=O)NC[C@H]1CCCN(c2nnc([C@H]3CCCOC3)n2Cc2ccc(NC(N)=O)cc2)C1,339.47,train
CCCS(=O)(=O)N[C@@H]1CC[C@H](SC)C1,145.55,train
Cc1cc2[nH]ncc2cc1NC(=O)C1CS(=O)(=O)C1,180.11,train
Cc1noc(C)c1CSCC(N)=O,121.34,train
COC[C@@H](C)S[C@H](C)c1nc2ccccc2o1,175.02,train
CO[C@H]1C[C@H](NS(=O)(=O)N2CCC2)C1,124.4,train
C[C@H](O)CN(C)C(=O)c1ccc(Cl)o1,130.92,train
O=C(COC(=O)c1ccn(-c2ccccc2F)n1)c1ccc2c(c1)OCO2,243.42,train
C=CCC(C)(C)Cn1c(CCN2CCN(c3ccccc3)CC2)nnc1N1CC[C@](C)(C(=O)NC)C1,353.52,train
Cc1ccc(NC(=O)C(=O)N2CCC[C@@H](CC(C)C)C2)cc1NC(=O)c1ccncc1,318.68,train
C[C@H]1CC[C@H](NC(=O)CN(C)C2CCC2)CS1(=O)=O,179.01,train
CC(C)C(=O)N1CC[C@@H](NC(=O)c2ccsn2)[C@H]1C,181.64,train
CCSCC[NH2+][C@@H](C)[C@@H](C)C(=O)[O-],130.7,train
CNS(=O)(=O)N1CCCN(C)CC1,119.29,train
CCC[C@H](C)C(=O)NCC(F)(F)CO,112.87,train
COCCC(=O)OCCOCC(C)C,124.12,train
O=C(NC[C@H]1CS(=O)(=O)CCO1)N1CCN(c2ncccc2F)CC1,220.7,train
CCOC(=O)c1c(N[C@H](NC(=O)c2ccco2)C(=O)c2ccc(Cl)cc2)sc2c1CCCC2,333.73,train
CS[C@@H](C)CC(=O)OCCC1(C)CC1,143.83,train
O=C(Nc1cc2n(n1)CCCC2)C(=O)N1CCC2(CCC(O)CC2)CC1,244.58,train
CC(C)CO[C@@H](C)C(=O)N(C)[C@@H]1CCC(=O)N(C)C1,175.02,train
C[C@H]1CCc2ccccc2[C@H]1NC(=O)C(=O)NCCc1csc(-c2ccccc2)n1,308.55,train
C[C@@H](C(=O)NC(=O)Nc1ccccc1)N1CCN([C@@H](C)C(=O)NC2CCCC2)CC1,282.64,train
C[C@@H]1CC(C)(C)CN1S(=O)(=O)CC1(C)CCC1,167.23,train
O=C1CCC(=O)N1Cc1csc(Cl)n1,126.51,train
CCCNS(=O)(=O)c1c(Cl)cccc1Cl,150.37,train
C[C@@H](NC(=S)NCC(N)=O)C(F)(F)F,112.87,train
C=CCn1c([C@H]2Cc3ccccc3O2)nnc1N1CCO[C@@H](c2ccc(CC)cc2)C1,300.36,train
CCOc1ccc(CCn2c(CC(C)(C)C)nnc2N2CC[C@](C)(C(N)=O)C2)cc1OCC,316.53,train
COC[C@@H]1CN(c2nnc([C@H](C)Oc3cccc(C)c3C)n2CCNC(=O)c2cccs2)CCO1,336.22,train
O=C(NCc1ccc(C2CC2)cc1)C(=O)Nc1cccc(OCCF)c1,251.98,train
CNC(=O)COC(=O)[C@H]1CO[C@@H](C)C1,116.67,train
CCn1ncc(-c2nc(C3(OC)CCC3)no2)n1,159.45,train
COc1ccc([C@@H](C)N(C)c2nnc(-c3ccc(Cl)nc3)n2CCN2CCN(C(C)=O)CC2)cc1,344.41,train
OCC[C@H]1CSCCN1CCN1C[C@H]2CC[C@@H](C1)O2,182.27,train
O=C(NC[C@@H]1CCC[C@@H](O)C1)NC1CCC(O)CC1,173.36,train
C=C(C)COCCn1c(-c2nn(CCC)c(=O)c3ccccc32)nnc1N1CCN(CC)[C@H](C)C1,351.18,train
CNC(=S)Nc1cncc(C2CC2)c1,157.03,train
CCCCNC(=O)[C@H](CC)N(Cc1ccc(Cl)cc1Cl)C(=O)Cc1cccc(Cl)c1,293.83,train
CC(C)[C@@H](c1nnnn1Cc1ccc(F)cc1)N1CCN(c2ccccc2F)CC1,270.43,train
Cc1ccc(-c2nnc(N3CCSC[C@H]3C)n2C[C@H]2CCCCO2)cc1F,264.48,train
COC(=O)[C@@H](O)CNC(=O)/C=C(\C)Cl,126.75,train
Cc1nc(NCc2nccs2)nn1C,135.43,train
CCCN[C@@H](Cc1ccc(Cl)cc1)C(=O)OC,166.3,train
C[C@H]1[C@H](c2nc(C[S@](C)=O)no2)[C@H]1c1ccccc1,188.14,train
CCOc1ccc(OC)cc1N[C@H]1CO[C@H](C)C1,174.19,train
COc1cc(CN(C)c2nnc(C(=O)Nc3ccccn3)n2C[C@@H]2CCC[C@@H]2OC)cc(OC)c1,338.98,train
COc1ccc([N+](=O)[O-])c(CC(=O)N[C@@H]2CCC[C@@H]2Cc2ccccc2)c1F,255.88,train
C=C(C)CS(=O)(=O)N[C@@H]1CNC(=O)C1,124.45,train
Cc1ccc(OCc2nnc(N3CCC([C@](C)(O)C(F)(F)F)CC3)n2CCC(=O)N(C)C)cc1C,307.33,train
CC(C)NC(=O)c1nnc(N2CCCN(CC(F)(F)F)CC2)n1Cc1cc(-c2ccccc2)no1,308.84,train
CN(OCC(F)(F)F)C(=O)C(C)(F)F,84.41,train
COCCCCCn1c(C2CCN(C(=O)OC(C)(C)C)CC2)nnc1N1CCO[C@]2(CCOC2)C1,320.45,train
O=C(C[C@H]1CCNC1=O)N1[C@@H]2CC[C@H]1[C@@H](NC(=O)c1cc(C3CC3)n[nH]1)C2,240.42,train
CCCC1(C(=O)N(C)[C@@H]2CC[C@H](SC)C2)CC1,177.08,train
O=C(c1sccc1Cl)N1CCSCC1,147.76,train
CC/C=C(/C)C(=O)NCCN(C)CCS(C)(=O)=O,175.08,train
Cc1ncc(C(=O)N2CC[C@H]2CN(C)C(=O)[C@]23CCC[C@H]2OCC3)n1C,238.59,train
Cc1nocc1-c1nc2ccccc2nc1[C@H](C#N)S(=O)(=O)c1ccccc1,264.39,train
COc1cccc(N2CCC[C@@H](NC(=O)C3(OCc4ccccc4)CCOCC3)C2)c1,296.22,train
CC(=O)OCCc1cccc(NC(=O)NC[C@H]2CC(C(N)=O)=NO2)c1,219.83,train
COC(=O)[C@@H](C)OCC(=O)c1ccccc1,139.22,train
CNC(=O)[C@@H]1CCC[C@@H]1NC(=O)N1CCN(CC(=O)N2CCCC2)CC1,235.43,train
CC(C)(C#N)c1ccc(NC(=O)N(Cc2ccc(C(N)=O)cc2F)C2CC2)cc1,271.5,train
CC(C)NC(=O)CCn1c([C@H](C)Oc2ccccc2F)nnc1N1C[C@H](C)O[C@@]2(CCCOC2)C1,310.52,train
CC(C)CCOc1ccc(-c2nnc(N3CCN(C(=O)C(=O)NC(C)C)CC3)n2[C@H]2C[C@H]2C)cc1,353.07,train
CCCCC(=O)N1CC[C@](F)(CO)C1,121.2,train
CNC(=O)NCCC(=O)N1C[C@@H](CNC(=O)c2ccc[nH]2)[C@H](C)C1,217.16,train
COc1c(Cl)cnnc1NCC(C)=O,127.21,train
CCC(CC)NC(=O)c1nnc(N2CCN(c3cnn(C)c3)CC2)n1CCc1ccc(C)cc1C,341.39,train
CCCNC(=O)Nc1ccc(CC(=O)N(C)CCOc2ccc(C)cc2)cc1,284.4,train
COc1ccc(CC(=O)N[C@@H](C)c2nc(-c3ccc(C)c(F)c3)no2)cc1[N+](=O)[O-],269.59,train
CC(C)(C)CC(=O)N1C[C@@H]2CC[C@H](NC(=O)Cc3cnc[nH]3)C[C@H]2C1,234.73,train
CCOC1CN(C(=O)N(C)CC(F)(F)F)C1,121.91,train
CO[C@H](C)C(=O)NCC(C)(C)C(C)C,135.42,train
C[C@@H]1CC(C)(C)CC[C@H]1NC(=O)c1nc(Cl)sc1Cl,200.03,train
COC(=O)[C@H]1C[C@@H](NC(=O)[C@@H](C)CCC(C)(C)C)C1,178.28,train
COC(=O)C[C@@H]1CCCN(C[C@H](O)C(=O)OC)C1,150.23,train
CCCC(=O)N1CCC([C@@H]2CCCN(C(=O)c3[nH]nnc3C)C2)CC1,230.9,train
CC1CCN(Cc2nc3sc4c(c3c(N3C[C@@H]5C(=O)N(c6cnn(C)c6)C[C@@H]5C3)n2)CCC4)CC1,352.67,train
O=C(N[C@H]1C[C@H]2CC[C@@H]1N2C(=O)[C@]12C[C@H]1COC2)c1cnns1,203.81,train
Cc1nc(C(=O)N[C@@H](C)CCC2CC2)c(C)s1,175.3,train
O=C(NCC1CCN(c2nnc(Cc3ccccn3)n2CC2(O)CCCCCC2)CC1)C(F)(F)F,298.29,train
CC[C@H](C)C(=O)N[C@@H](C)CN(C)C(=O)c1cc(=O)[nH]c2c1CCCC2,237.65,train
COC(=O)c1ccc2c(c1)[C@@H](CNC(=O)CCc1nc3ccccc3o1)CCC2,274.52,train
C[C@H]1CCCC[C@H]1OCCn1c(C(=O)N2CCCC2)nnc1N1CC[C@H](NC(=O)OC(C)(C)C)C1,331.45,train
CCOC(=O)[C@H](C)OC(=O)CC[C@H]1CC1(Cl)Cl,152.18,train
CCOc1cc(/C=C2/C(=N)N3N=C(CC)SC3=NC2=O)cc(Cl)c1OCc1ccc(F)cc1,350.64,train
C[C@H]1CCC[N@H+]1CCNC(=O)C(=O)[O-],117.99,train
Cc1ncsc1C(=O)N[C@H](C)CCc1cccn1C,187.52,train
CCCCn1cc(CNC(=O)c2ccc(-n3cccn3)cc2)c(C)n1,252.82,train
CNC(=S)Nc1c(Cl)cnnc1Cl,135.92,train
CCN(C)C(=O)[C@H](C)OCCC(C)C,135.46,train
O=C(N[C@@H]1CCC[C@H](c2nc3ccccc3[nH]2)C1)c1ccnc(-c2ncc[nH]2)c1,283.83,train
CN(Cc1cccs1)c1nnc(C(C)(C)C)n1C[C@@H]1CC[C@]2(CCOC2)O1,257.88,train
Cn1cc([C@@H]2C[C@H]2C(=O)NCC2CN(C(=O)C3(C(C)(F)F)CC3)C2)cn1,227.1,train
c1csc(-c2cn(CC3CC3)nn2)n1,140.14,train
NC(=O)C(=O)N1CCO[C@@H](CCF)C1,108.49,train
CO[C@@H](C)CSc1nc(CO)cs1,141.62,train
Cc1nn(C)cc1C(=O)NCC[C@@]1(C)C[C@@]1(F)Cl,163.01,train
Fc1cccc(-c2cc(C(F)(F)N3Cc4cncn4C[C@@H](COCC4CC4)C3)cnc2Cl)c1,294.63,train
CC(C(=O)N1CCN(CCC#N)CC1)=C1CCCC1,178.93,train
C/C(=C/c1ccccc1)CN(C)c1nnc(C(C)(C)O)n1CC1CC1,250.82,train
COc1cc([C@H]2Nc3ccccc3NC3=C2C(=O)C[C@@H](c2cccs2)C3)cc([N+](=O)[O-])c1O,327.22,train
CCS(=O)(=O)N1CCCC(C)(C)C1,126.41,train
O=C(CSc1nnc(-c2ccccc2Cl)n1-c1cccc(C(F)(F)F)c1)NCC(F)(F)F,265.4,train
Cc1ccc(-c2nc3cc(NC(=S)NC(=O)c4ccc5nsnc5c4)ccc3o2)cc1C,389.5,train
Cc1cc(-c2csc(CN(C)CC(=O)Nc3c(C)cc(C)cc3C)n2)c(C)n1-c1ccccn1,368.28,train
CC(C)SCCNC(=O)N1CC[C@@H](O)[C@@H](C)C1,171.94,train
COC(=O)c1ccc(Nc2ccccc2N)s1,185.57,train
C[C@@H]1CC[C@H](C)[C@H]1NS(=O)(=O)C(F)F,116.07,train
CCNC(=O)[C@H](C)N(Cc1ccc(Cl)c(Cl)c1)C(=O)CN(c1cccc(F)c1)S(C)(=O)=O,296.53,train
Cc1ccc([C@@H]2CCC[C@@H]2N(C)C(=O)CCNC(=O)c2ccc([N+](=O)[O-])cc2)cc1,283.0,train
CCN1C(=O)[C@H]2CN(c3nnc(-c4cccnc4)n3CCC(=O)N(C)C)CCN2C1=O,272.73,train
COc1ccc(CN2C(=O)N[C@]3(CCN(C(=O)C[C@@H]4NC(=O)CNC4=O)C3)C2=O)cc1,260.7,train
COc1cc(C(=O)NCc2ccccc2N2CCCCC2)ccc1[N+](=O)[O-],257.03,train
CCC[C@H](C)S(=O)(=O)N1CC[C@H](C)C1,138.24,train
Cc1ccc(CN(C)CC(=O)NC(C)(C)C)c(C)n1,187.37,train
CC(=O)Nc1ccc(Cn2c(CC(C)C)nnc2N2CCN(CC(=O)N3CCCC[C@@H]3C)CC2)cc1,349.48,train
CCn1nc(C)c(CN2CC[C@@H]3CCN(C(=O)[C@H](OC)C(C)C)C[C@@H]32)n1,240.96,train
CCCC(=O)N1CCCC[C@@H]1C(=O)NCC1(c2cccc(C)c2)CCCC1,255.98,train
CCn1ccc(NC(=O)[C@@H]2CN3CCN2C[C@H]3C)n1,173.73,train
COc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3SC(C)C)cc2)c(OC)c1,342.77,train
COC(=O)N1CCC[C@H]([C@@H](C)NC(=O)CCCc2ccc(F)cc2)C1,224.71,train
CCC(CC)(Cn1c(-c2ccc(OC)cc2)nnc1N1CCN([C@@H](C)C(=O)N2CCCC2)CC1)OC,347.82,train
C[C@@H]1CC[C@@H](NC(=O)Nc2cccc(Cn3nc4ccccn4c3=O)c2)C1,260.67,train
Cc1ccc(NC(=O)NC[C@H](C)O)s1,141.73,train
Cc1nn(-c2ccc(F)cc2)c(C)c1[C@@H]1NC(=O)N(CCCOc2ccccc2)C1=O,281.16,train
O=C(NC[C@H]1COCCN1CCC[C@@H]1CCOC1)c1ncccn1,216.36,train
COC[C@@H](C)S(=O)(=O)NCCC1CC=CC1,151.63,train
FC[C@H]1CN(C[C@@H]2CC2(Cl)Cl)CCO1,128.01,train
CC(C)COC(=O)N1CCCN(c2nnc(-c3cnn(-c4ccccc4)c3)n2CC(C)(C)O)CC1,341.58,train
Cc1ccccc1[C@H]1CN(C(=O)Nc2c(-c3cnn(C)c3)nc3ccccn32)CCO1,304.42,train
Cc1cccc(NC(=O)N2CCC[C@@H](C(=O)Nc3cccnc3OCC(F)F)C2)c1,272.23,train
COC(=O)c1ccc(NC(=O)C(=O)N2CC[C@H]3CCN(C)C[C@@H]32)cc1OC,262.03,train
C[C@@H]1CCC[C@H](NC(=O)CN2CCN(c3nnc(-c4cccnc4)n3CCCC(F)(F)F)CC2)C1,311.93,train
CC[C@H](COC)NC(=O)C[C@@H]1CCCOC1,145.89,train
Cc1cc(CN2CC[C@@H]3[C@H]2CCCN3C(=O)C[C@H]2C=CCCC2)no1,236.74,train
Cc1nccnc1CCn1c(COc2ccccc2F)nnc1N1CCC[C@@H](NC(=O)C(C)C)C1,314.15,train
COC(=O)c1cccc(NC(=O)COc2ccc(C(=O)c3ccc(F)cc3)cc2)c1,285.86,train
Cc1nc(C(=O)N2[C@@H]3CC[C@H]2[C@@H](NC(=O)C(F)F)C3)c(=O)[nH]c1C,197.23,train
Cc1ccc(-c2nnc(CCc3ccc(S(N)(=O)=O)cc3)o2)cc1C,252.58,train
CNC(=O)c1ccc(CNC(=O)C(C)(C)F)cc1,162.61,train
CC(=O)c1cn(CC(=O)NCc2nonc2C)nn1,153.47,train
NC(=O)[C@@H](c1ccc(F)cc1)N1CC(NC(=O)c2ccns2)C1,208.02,train
C/C=C/CO[C@H](CCC)C(C)(C)C,136.96,train
CN(Cc1cnccn1)c1nccs1,134.31,train
COc1ccc2c(c1)[C@H](N(Cc1ccccc1)C(=O)c1ccc(C#N)c(O)c1)CCO2,297.19,train
C[C@@H]1CCC[C@H](C)N(C(=O)C(=O)Nc2cc(Cl)ccc2C(=O)N(C)C)C1,258.69,train
Cn1ncc(Cl)c1C(=O)OC[C@H]1CC2(CCC2)CO1,170.5,train
C=C(C)CCCOc1ccc(F)cc1,129.89,train
CN1CCN([C@@H](CNC(=O)C(=O)NCc2ccccc2F)c2ccc3c(c2)OCO3)CC1,290.07,train
CC1(C)CCC[C@@H](NC(=O)C(=O)Nc2ccc(Oc3ccnc(C#N)c3)cc2)C1,286.6,train
Cc1ccc(CNC(=O)c2ccc([C@@H]3SCC(=O)N3Cc3ccc(Cl)cc3)cc2)cc1,320.53,train
COCc1nn(C)cc1C(=O)N[C@@H]1CC[C@H](CNC(=O)c2ccco2)C1,236.56,train
CC(C)(C(=O)NCc1ccc(F)cc1F)C(F)(F)F,136.36,train
CC[C@H](CC(=O)N1CCSC[C@@H]1c1nn[nH]n1)c1ccc(OC)cc1,234.18,train
Cc1ccc(OCCCn2c([C@@H]3CCC(=O)N3)nnc2N2CC[C@@H](N(C)C(=O)OC(C)(C)C)C2)cc1,334.93,train
Cc1ccc2c(c1C)OC[C@@H]2NC(=O)c1cnc2c(cnn2C)c1O,235.41,train
CCn1c2ccccc2nc1[C@H](NC(=O)Cc1ccnc(C#N)c1)c1ccccc1,284.68,train
CC[C@H](C)c1nnc(N2CCCN(Cc3noc(C)n3)CC2)n1CCc1ccc(NC(C)=O)cc1,336.61,train
CC[C@H](Cn1c(-c2cnn(C)c2)nnc1N1CCc2c(ccnc2N(C)C)C1)NC(=O)OC(C)(C)C,344.3,train
C[C@H]1CN(S(=O)(=O)c2ccccc2F)C[C@@H]1C,155.49,train
CO[C@H]1CCN(c2ncc(C)cn2)[C@H](C)C1,157.66,train
C=CCCO[C@@H](CCC)[C@@H](C)CC,136.11,train
COCC[C@@H](C)NC(=O)N1CC[C@H](C(C)(C)C)C1,175.38,train
C[C@@H]1CCC[C@@H]1CNC(=O)C(=O)Nc1ccc(C(C)(C)C(F)(F)F)cc1,236.58,train
CCC(CC)NC(=O)c1nnc(N2CC[C@H](C)[C@H](OC)C2)n1Cc1ccn(Cc2ccccc2)n1,338.24,train
Cc1ccc(Cl)cc1N[C@H]1CCOC1,141.25,train
COC(=O)CC1(CS[C@@H](C)CO)CC1,135.73,train
Cc1nc(C[S@@](=O)CCC2CC2)cs1,152.44,train
CC[C@@H]1C[C@@H](NCc2cscn2)CO1,138.38,train
